"Timestamp","1. What is your musical taste? Select any genre  that you enjoy. Pick as many as you like.","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching. Pick as many as you like.","4. What is your TV show taste? Select any TV series that you enjoyed watching. Pick as many as you like.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use?  Pick as many as you like.","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/20 10:05:56 PM GMT+1","Classical;Rock;Country;Pop;Indie;Electronic;Hip-hop/Rap;None of the above genres","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Harry Potter series;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now;None of the above films","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","I don't use any social media app;Facebook;Twitter;WhatsApp;Instagram;Pinterest;Snapchat","Less than 5 hours","I mostly use cards","15"
"2019/06/20 10:06:27 PM GMT+1","Rock;Indie","I mostly listen to the radio","None of the above films","Friends;Gavin and Stacey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp","More than 30 hours","I mostly use cards","50"
"2019/06/20 10:06:28 PM GMT+1","Rock;Pop;Hip-hop/Rap","I mostly  listen to CDs","Star Wars series;Love Actually;Back to the Future","Downtown Abbey;The Thick of It;None of the above tv shows","I don't really watch TV programs","WhatsApp","More than 30 hours","I mostly use cash","90"
"2019/06/20 10:06:40 PM GMT+1","Classical;Rock","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","Friends;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram","Between 5 and 10 hours","I mostly use cards","23"
"2019/06/20 10:06:59 PM GMT+1","Classical;Country;Pop","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Harry Potter series;Love Actually;Casablanca;Toy Story series","Friends;Only Fools and Horses;Downtown Abbey","I mostly watch live TV (eg news or sports)","Facebook;Twitter;WhatsApp;Instagram;Pinterest;LinkedIn","Between 5 and 10 hours","I mostly use cards","43"
"2019/06/20 10:07:17 PM GMT+1","Rock;Pop;Electronic","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;Instagram","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","48"
"2019/06/20 10:07:33 PM GMT+1","Electronic;Hip-hop/Rap;None of the above genres","I mostly listen to the radio","Love Actually","Gavin and Stacey","I mostly watch recorded programs on my TV","Instagram","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","10"
"2019/06/20 10:08:00 PM GMT+1","Rock;Pop;Indie","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Harry Potter series;Love Actually;Toy Story series;Back to the Future","Friends;Gavin and Stacey;Game of Thrones;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;Instagram","","I mostly use cards","45"
"2019/06/20 10:09:34 PM GMT+1","Rock","I mostly use YouTube or other websites","Star Wars series;Toy Story series","Doctor Who;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Snapchat","More than 30 hours","I mostly use cards","16"
"2019/06/20 10:09:36 PM GMT+1","Rock","I mostly use Spotify or another music streaming service","None of the above films","Friends;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Instagram","Between 5 and 10 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","43"
